,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
450,144140,United States,144140 United States,2021-11-01,12780.0,,,
451,144140,United States,144140 United States,2021-12-01,16624.0,6308.0,,
452,144140,United States,144140 United States,2022-01-01,9675.0,6611.0,,
453,144140,United States,144140 United States,2022-02-01,10832.0,8090.0,,
454,144140,United States,144140 United States,2022-03-01,12611.0,7753.0,,
455,144140,United States,144140 United States,2022-04-01,11411.0,9045.0,,
456,144140,United States,144140 United States,2022-05-01,11752.0,8675.0,,
457,144140,United States,144140 United States,2022-06-01,12064.0,9743.0,,
458,144140,United States,144140 United States,2022-07-01,11104.0,9479.0,,
459,144140,United States,144140 United States,2022-08-01,12385.0,10470.0,,
460,144140,United States,144140 United States,2022-09-01,13077.0,10310.0,,
461,144140,United States,144140 United States,2022-10-01,14158.0,11423.0,,
462,144140,United States,144140 United States,2022-11-01,15263.0,11373.0,,
463,144140,United States,144140 United States,2022-12-01,20910.0,11415.0,,
464,144140,United States,144140 United States,2023-01-01,13430.0,12959.0,,
465,144140,United States,144140 United States,2023-02-01,10208.0,12670.0,,
466,144140,United States,144140 United States,2023-03-01,13161.0,12240.0,,
467,144140,United States,144140 United States,2023-04-01,11452.0,13194.0,,
468,144140,United States,144140 United States,2023-05-01,12822.0,12966.0,,
469,144140,United States,144140 United States,2023-06-01,14974.0,12914.0,,
470,144140,United States,144140 United States,2023-07-01,11855.0,14093.0,,
471,144140,United States,144140 United States,2023-08-01,13778.0,13944.0,,
472,144140,United States,144140 United States,2023-09-01,13429.0,13936.0,,
473,144140,United States,144140 United States,2023-10-01,18267.0,14964.0,,
474,144140,United States,144140 United States,2023-11-01,16881.0,15153.0,,
475,144140,United States,144140 United States,2023-12-01,23510.0,15216.0,,
476,144140,United States,144140 United States,2024-01-01,12719.0,15606.0,,
477,144140,United States,144140 United States,2024-02-01,13916.0,16342.0,,
478,144140,United States,144140 United States,2024-03-01,14711.0,16036.0,,
479,144140,United States,144140 United States,2024-04-01,14728.0,15882.0,,
480,144140,United States,144140 United States,2024-05-01,14860.0,15815.0,,
481,144140,United States,144140 United States,2024-06-01,13814.0,16820.0,,
482,144140,United States,144140 United States,2024-07-01,14601.0,16706.0,,1.0
483,144140,United States,144140 United States,2024-08-01,15249.0,16675.0,,
484,144140,United States,144140 United States,2024-09-01,13948.0,16704.0,,1.0
485,144140,United States,144140 United States,2024-10-01,17662.0,17661.0,,
486,144140,United States,144140 United States,2024-11-01,8701.0,17773.0,1.0,
487,144140,United States,144140 United States,2024-12-01,,17773.0,,
488,144140,United States,144140 United States,2025-01-01,,17790.0,,
489,144140,United States,144140 United States,2025-02-01,,17798.0,,
490,144140,United States,144140 United States,2025-03-01,,17802.0,,
491,144140,United States,144140 United States,2025-04-01,,18810.0,,
492,144140,United States,144140 United States,2025-05-01,,18811.0,,
493,144140,United States,144140 United States,2025-06-01,,18812.0,,
494,144140,United States,144140 United States,2025-07-01,,18812.0,,
495,144140,United States,144140 United States,2025-08-01,,18812.0,,
496,144140,United States,144140 United States,2025-09-01,,18812.0,,
497,144140,United States,144140 United States,2025-10-01,,18812.0,,
498,144140,United States,144140 United States,2025-11-01,,18812.0,,
499,144140,United States,144140 United States,2025-12-01,,18812.0,,
500,144140,United States,144140 United States,2026-01-01,,18812.0,,
501,144140,United States,144140 United States,2026-02-01,,18812.0,,
502,144140,United States,144140 United States,2026-03-01,,18812.0,,
503,144140,United States,144140 United States,2026-04-01,,19815.0,,
504,144140,United States,144140 United States,2026-05-01,,19815.0,,
505,144140,United States,144140 United States,2026-06-01,,19815.0,,
506,144140,United States,144140 United States,2026-07-01,,19815.0,,
507,144140,United States,144140 United States,2026-08-01,,19815.0,,
508,144140,United States,144140 United States,2026-09-01,,19815.0,,
509,144140,United States,144140 United States,2026-10-01,,19815.0,,
510,144140,United States,144140 United States,2026-11-01,,19815.0,,
511,144140,United States,144140 United States,2026-12-01,,19815.0,,
512,144140,United States,144140 United States,2027-01-01,,19815.0,,
513,144140,United States,144140 United States,2027-02-01,,19815.0,,
514,144140,United States,144140 United States,2027-03-01,,19815.0,,
515,144140,United States,144140 United States,2027-04-01,,19815.0,,
516,144140,United States,144140 United States,2027-05-01,,19815.0,,
517,144140,United States,144140 United States,2027-06-01,,20815.0,,
518,144140,United States,144140 United States,2027-07-01,,20815.0,,
519,144140,United States,144140 United States,2027-08-01,,20815.0,,
520,144140,United States,144140 United States,2027-09-01,,20815.0,,
521,144140,United States,144140 United States,2027-10-01,,20815.0,,
522,144140,United States,144140 United States,2027-11-01,,20815.0,,
523,144140,United States,144140 United States,2027-12-01,,3325.0,,
524,144140,United States,144140 United States,2028-01-01,,3325.0,,
