,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
0,5551-G-320-E,United States,5551-G-320-E United States,2021-11-01,2746.0,,,
1,5551-G-320-E,United States,5551-G-320-E United States,2021-12-01,2567.0,1384.0,,
2,5551-G-320-E,United States,5551-G-320-E United States,2022-01-01,2173.0,1464.0,,
3,5551-G-320-E,United States,5551-G-320-E United States,2022-02-01,2547.0,1544.0,,
4,5551-G-320-E,United States,5551-G-320-E United States,2022-03-01,3104.0,1622.0,,
5,5551-G-320-E,United States,5551-G-320-E United States,2022-04-01,2721.0,1699.0,,
6,5551-G-320-E,United States,5551-G-320-E United States,2022-05-01,2780.0,1774.0,,
7,5551-G-320-E,United States,5551-G-320-E United States,2022-06-01,2858.0,1849.0,,
8,5551-G-320-E,United States,5551-G-320-E United States,2022-07-01,2447.0,1922.0,,
9,5551-G-320-E,United States,5551-G-320-E United States,2022-08-01,2894.0,1994.0,,
10,5551-G-320-E,United States,5551-G-320-E United States,2022-09-01,2812.0,2064.0,,
11,5551-G-320-E,United States,5551-G-320-E United States,2022-10-01,3184.0,2134.0,,
12,5551-G-320-E,United States,5551-G-320-E United States,2022-11-01,3072.0,2202.0,,
13,5551-G-320-E,United States,5551-G-320-E United States,2022-12-01,2813.0,2269.0,,
14,5551-G-320-E,United States,5551-G-320-E United States,2023-01-01,3094.0,2335.0,,
15,5551-G-320-E,United States,5551-G-320-E United States,2023-02-01,2771.0,2400.0,,
16,5551-G-320-E,United States,5551-G-320-E United States,2023-03-01,3147.0,2463.0,,
17,5551-G-320-E,United States,5551-G-320-E United States,2023-04-01,2811.0,2526.0,,
18,5551-G-320-E,United States,5551-G-320-E United States,2023-05-01,3066.0,2587.0,,
19,5551-G-320-E,United States,5551-G-320-E United States,2023-06-01,3174.0,2647.0,,
20,5551-G-320-E,United States,5551-G-320-E United States,2023-07-01,2574.0,2706.0,,
21,5551-G-320-E,United States,5551-G-320-E United States,2023-08-01,3143.0,2763.0,,
22,5551-G-320-E,United States,5551-G-320-E United States,2023-09-01,2885.0,2820.0,,
23,5551-G-320-E,United States,5551-G-320-E United States,2023-10-01,3451.0,2875.0,,
24,5551-G-320-E,United States,5551-G-320-E United States,2023-11-01,3272.0,2930.0,,
25,5551-G-320-E,United States,5551-G-320-E United States,2023-12-01,2768.0,2983.0,,
26,5551-G-320-E,United States,5551-G-320-E United States,2024-01-01,3260.0,3035.0,,
27,5551-G-320-E,United States,5551-G-320-E United States,2024-02-01,2977.0,3086.0,,
28,5551-G-320-E,United States,5551-G-320-E United States,2024-03-01,2828.0,3136.0,,
29,5551-G-320-E,United States,5551-G-320-E United States,2024-04-01,3188.0,3185.0,,
30,5551-G-320-E,United States,5551-G-320-E United States,2024-05-01,3082.0,3233.0,,
31,5551-G-320-E,United States,5551-G-320-E United States,2024-06-01,2879.0,3280.0,,
32,5551-G-320-E,United States,5551-G-320-E United States,2024-07-01,2977.0,3326.0,,1.0
33,5551-G-320-E,United States,5551-G-320-E United States,2024-08-01,2911.0,3372.0,,
34,5551-G-320-E,United States,5551-G-320-E United States,2024-09-01,2815.0,3416.0,,1.0
35,5551-G-320-E,United States,5551-G-320-E United States,2024-10-01,3367.0,3459.0,,
36,5551-G-320-E,United States,5551-G-320-E United States,2024-11-01,1219.0,3501.0,1.0,
37,5551-G-320-E,United States,5551-G-320-E United States,2024-12-01,,3542.0,,
38,5551-G-320-E,United States,5551-G-320-E United States,2025-01-01,,3582.0,,
39,5551-G-320-E,United States,5551-G-320-E United States,2025-02-01,,3622.0,,
40,5551-G-320-E,United States,5551-G-320-E United States,2025-03-01,,3661.0,,
41,5551-G-320-E,United States,5551-G-320-E United States,2025-04-01,,3698.0,,
42,5551-G-320-E,United States,5551-G-320-E United States,2025-05-01,,3735.0,,
43,5551-G-320-E,United States,5551-G-320-E United States,2025-06-01,,3771.0,,
44,5551-G-320-E,United States,5551-G-320-E United States,2025-07-01,,3806.0,,
45,5551-G-320-E,United States,5551-G-320-E United States,2025-08-01,,3841.0,,
46,5551-G-320-E,United States,5551-G-320-E United States,2025-09-01,,3874.0,,
47,5551-G-320-E,United States,5551-G-320-E United States,2025-10-01,,3907.0,,
48,5551-G-320-E,United States,5551-G-320-E United States,2025-11-01,,3939.0,,
49,5551-G-320-E,United States,5551-G-320-E United States,2025-12-01,,3971.0,,
50,5551-G-320-E,United States,5551-G-320-E United States,2026-01-01,,4001.0,,
51,5551-G-320-E,United States,5551-G-320-E United States,2026-02-01,,4031.0,,
52,5551-G-320-E,United States,5551-G-320-E United States,2026-03-01,,4060.0,,
53,5551-G-320-E,United States,5551-G-320-E United States,2026-04-01,,4089.0,,
54,5551-G-320-E,United States,5551-G-320-E United States,2026-05-01,,4117.0,,
55,5551-G-320-E,United States,5551-G-320-E United States,2026-06-01,,4144.0,,
56,5551-G-320-E,United States,5551-G-320-E United States,2026-07-01,,4170.0,,
57,5551-G-320-E,United States,5551-G-320-E United States,2026-08-01,,4196.0,,
58,5551-G-320-E,United States,5551-G-320-E United States,2026-09-01,,4221.0,,
59,5551-G-320-E,United States,5551-G-320-E United States,2026-10-01,,4246.0,,
60,5551-G-320-E,United States,5551-G-320-E United States,2026-11-01,,4270.0,,
61,5551-G-320-E,United States,5551-G-320-E United States,2026-12-01,,4293.0,,
62,5551-G-320-E,United States,5551-G-320-E United States,2027-01-01,,4316.0,,
63,5551-G-320-E,United States,5551-G-320-E United States,2027-02-01,,4339.0,,
64,5551-G-320-E,United States,5551-G-320-E United States,2027-03-01,,4360.0,,
65,5551-G-320-E,United States,5551-G-320-E United States,2027-04-01,,4382.0,,
66,5551-G-320-E,United States,5551-G-320-E United States,2027-05-01,,4402.0,,
67,5551-G-320-E,United States,5551-G-320-E United States,2027-06-01,,4422.0,,
68,5551-G-320-E,United States,5551-G-320-E United States,2027-07-01,,4442.0,,
69,5551-G-320-E,United States,5551-G-320-E United States,2027-08-01,,4461.0,,
70,5551-G-320-E,United States,5551-G-320-E United States,2027-09-01,,4480.0,,
71,5551-G-320-E,United States,5551-G-320-E United States,2027-10-01,,4498.0,,
72,5551-G-320-E,United States,5551-G-320-E United States,2027-11-01,,4516.0,,
73,5551-G-320-E,United States,5551-G-320-E United States,2027-12-01,,1219.0,,
74,5551-G-320-E,United States,5551-G-320-E United States,2028-01-01,,1219.0,,
