,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
675,7030-6525,United States,7030-6525 United States,2021-11-01,4015.0,,,
676,7030-6525,United States,7030-6525 United States,2021-12-01,3849.0,1915.0,,
677,7030-6525,United States,7030-6525 United States,2022-01-01,3257.0,1915.0,,
678,7030-6525,United States,7030-6525 United States,2022-02-01,3928.0,1915.0,,
679,7030-6525,United States,7030-6525 United States,2022-03-01,4787.0,1915.0,,
680,7030-6525,United States,7030-6525 United States,2022-04-01,4201.0,1915.0,,
681,7030-6525,United States,7030-6525 United States,2022-05-01,4383.0,2087.0,,
682,7030-6525,United States,7030-6525 United States,2022-06-01,4404.0,2256.0,,
683,7030-6525,United States,7030-6525 United States,2022-07-01,3900.0,2421.0,,
684,7030-6525,United States,7030-6525 United States,2022-08-01,4653.0,2583.0,,
685,7030-6525,United States,7030-6525 United States,2022-09-01,4056.0,2742.0,,
686,7030-6525,United States,7030-6525 United States,2022-10-01,4468.0,2897.0,,
687,7030-6525,United States,7030-6525 United States,2022-11-01,4797.0,3049.0,,
688,7030-6525,United States,7030-6525 United States,2022-12-01,4663.0,3198.0,,
689,7030-6525,United States,7030-6525 United States,2023-01-01,4671.0,3344.0,,
690,7030-6525,United States,7030-6525 United States,2023-02-01,4667.0,3486.0,,
691,7030-6525,United States,7030-6525 United States,2023-03-01,5056.0,3625.0,,
692,7030-6525,United States,7030-6525 United States,2023-04-01,4637.0,3761.0,,
693,7030-6525,United States,7030-6525 United States,2023-05-01,5246.0,3893.0,,
694,7030-6525,United States,7030-6525 United States,2023-06-01,5005.0,4023.0,,
695,7030-6525,United States,7030-6525 United States,2023-07-01,4301.0,4149.0,,
696,7030-6525,United States,7030-6525 United States,2023-08-01,5063.0,4272.0,,
697,7030-6525,United States,7030-6525 United States,2023-09-01,4536.0,4392.0,,
698,7030-6525,United States,7030-6525 United States,2023-10-01,5245.0,4509.0,,
699,7030-6525,United States,7030-6525 United States,2023-11-01,5034.0,4623.0,,
700,7030-6525,United States,7030-6525 United States,2023-12-01,4804.0,4735.0,,
701,7030-6525,United States,7030-6525 United States,2024-01-01,5152.0,4843.0,,
702,7030-6525,United States,7030-6525 United States,2024-02-01,4962.0,4948.0,,
703,7030-6525,United States,7030-6525 United States,2024-03-01,4998.0,5051.0,,
704,7030-6525,United States,7030-6525 United States,2024-04-01,5372.0,5151.0,,
705,7030-6525,United States,7030-6525 United States,2024-05-01,5273.0,5248.0,,
706,7030-6525,United States,7030-6525 United States,2024-06-01,5052.0,5343.0,,
707,7030-6525,United States,7030-6525 United States,2024-07-01,5029.0,5435.0,,1.0
708,7030-6525,United States,7030-6525 United States,2024-08-01,5017.0,5524.0,,
709,7030-6525,United States,7030-6525 United States,2024-09-01,4815.0,5611.0,,1.0
710,7030-6525,United States,7030-6525 United States,2024-10-01,5526.0,5696.0,,
