,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev,End of History,OOS
675,7650-2038A,United States,7650-2038A United States,2021-11-01,4902.0,,,
676,7650-2038A,United States,7650-2038A United States,2021-12-01,5291.0,2953.0,,
677,7650-2038A,United States,7650-2038A United States,2022-01-01,3322.0,3200.0,,
678,7650-2038A,United States,7650-2038A United States,2022-02-01,4673.0,4000.0,,
679,7650-2038A,United States,7650-2038A United States,2022-03-01,4925.0,3799.0,,
680,7650-2038A,United States,7650-2038A United States,2022-04-01,4510.0,4533.0,,
681,7650-2038A,United States,7650-2038A United States,2022-05-01,4385.0,4126.0,,
682,7650-2038A,United States,7650-2038A United States,2022-06-01,4879.0,4476.0,,
683,7650-2038A,United States,7650-2038A United States,2022-07-01,3645.0,4178.0,,
684,7650-2038A,United States,7650-2038A United States,2022-08-01,4881.0,4310.0,,
685,7650-2038A,United States,7650-2038A United States,2022-09-01,4348.0,4147.0,,
686,7650-2038A,United States,7650-2038A United States,2022-10-01,5017.0,4450.0,,
687,7650-2038A,United States,7650-2038A United States,2022-11-01,5450.0,4372.0,,
688,7650-2038A,United States,7650-2038A United States,2022-12-01,5396.0,4427.0,,
689,7650-2038A,United States,7650-2038A United States,2023-01-01,3955.0,4918.0,,
690,7650-2038A,United States,7650-2038A United States,2023-02-01,4168.0,4570.0,,
691,7650-2038A,United States,7650-2038A United States,2023-03-01,4886.0,4352.0,,
692,7650-2038A,United States,7650-2038A United States,2023-04-01,4347.0,4725.0,,
693,7650-2038A,United States,7650-2038A United States,2023-05-01,4628.0,4569.0,,
694,7650-2038A,United States,7650-2038A United States,2023-06-01,4930.0,4519.0,,
695,7650-2038A,United States,7650-2038A United States,2023-07-01,3814.0,4900.0,,
696,7650-2038A,United States,7650-2038A United States,2023-08-01,4746.0,4653.0,,
697,7650-2038A,United States,7650-2038A United States,2023-09-01,4669.0,4639.0,,
698,7650-2038A,United States,7650-2038A United States,2023-10-01,5253.0,4954.0,,
699,7650-2038A,United States,7650-2038A United States,2023-11-01,5618.0,4990.0,,
700,7650-2038A,United States,7650-2038A United States,2023-12-01,6133.0,5083.0,,
