,Item,Region,Combination,Month,Act Orders Final Rev,Fcst Stat Prelim Rev_Kind_1,End of History,OOS,Fcst Stat Prelim Rev_Kind_2,Fcst Stat Prelim Rev_Kind_800
1,110550,United States,110550 United States,2021-11-01,8220.0,,,,,
4,110550,United States,110550 United States,2021-12-01,10836.0,5295.0,,,5295.0,5295.0
7,110550,United States,110550 United States,2022-01-01,6425.0,5295.0,,,5295.0,5295.0
10,110550,United States,110550 United States,2022-02-01,7720.0,5295.0,,,5295.0,5295.0
13,110550,United States,110550 United States,2022-03-01,8466.0,5295.0,,,5295.0,5295.0
16,110550,United States,110550 United States,2022-04-01,7605.0,5295.0,,,5295.0,5295.0
19,110550,United States,110550 United States,2022-05-01,7452.0,5295.0,,,5295.0,5295.0
22,110550,United States,110550 United States,2022-06-01,8374.0,5295.0,,,5295.0,5295.0
25,110550,United States,110550 United States,2022-07-01,7783.0,5295.0,,,5295.0,5295.0
28,110550,United States,110550 United States,2022-08-01,8494.0,5295.0,,,5295.0,5295.0
31,110550,United States,110550 United States,2022-09-01,8460.0,5295.0,,,5295.0,5295.0
34,110550,United States,110550 United States,2022-10-01,8991.0,5295.0,,,5295.0,5295.0
37,110550,United States,110550 United States,2022-11-01,10319.0,5563.0,,,5563.0,5563.0
40,110550,United States,110550 United States,2022-12-01,12694.0,5828.0,,,5828.0,5828.0
43,110550,United States,110550 United States,2023-01-01,8911.0,6090.0,,,6090.0,6090.0
46,110550,United States,110550 United States,2023-02-01,9040.0,6349.0,,,6349.0,6349.0
49,110550,United States,110550 United States,2023-03-01,9371.0,6605.0,,,6605.0,6605.0
52,110550,United States,110550 United States,2023-04-01,7791.0,6858.0,,,6858.0,6858.0
55,110550,United States,110550 United States,2023-05-01,9911.0,7108.0,,,7108.0,7108.0
58,110550,United States,110550 United States,2023-06-01,10348.0,7355.0,,,7355.0,7355.0
61,110550,United States,110550 United States,2023-07-01,8473.0,7598.0,,,7598.0,7598.0
64,110550,United States,110550 United States,2023-08-01,10210.0,7839.0,,,7839.0,7839.0
67,110550,United States,110550 United States,2023-09-01,9366.0,8077.0,,,8077.0,8077.0
70,110550,United States,110550 United States,2023-10-01,12692.0,8311.0,,,8311.0,8311.0
73,110550,United States,110550 United States,2023-11-01,11498.0,8543.0,,,8543.0,8543.0
76,110550,United States,110550 United States,2023-12-01,14473.0,8771.0,,,8771.0,8771.0
79,110550,United States,110550 United States,2024-01-01,8725.0,8997.0,,,8997.0,8997.0
82,110550,United States,110550 United States,2024-02-01,9040.0,9219.0,,,9219.0,9219.0
85,110550,United States,110550 United States,2024-03-01,8916.0,9439.0,,,9439.0,9439.0
88,110550,United States,110550 United States,2024-04-01,9534.0,9655.0,,,9655.0,9655.0
91,110550,United States,110550 United States,2024-05-01,9180.0,9869.0,,,9869.0,9869.0
94,110550,United States,110550 United States,2024-06-01,9476.0,10079.0,,,10079.0,10079.0
97,110550,United States,110550 United States,2024-07-01,8941.0,10286.0,,1.0,10286.0,10286.0
100,110550,United States,110550 United States,2024-08-01,8188.0,10491.0,,,10491.0,10491.0
103,110550,United States,110550 United States,2024-09-01,8557.0,10693.0,,1.0,10693.0,10693.0
106,110550,United States,110550 United States,2024-10-01,9969.0,10891.0,,,10891.0,10891.0
109,110550,United States,110550 United States,2024-11-01,5295.0,11087.0,1.0,,11087.0,11087.0
112,110550,United States,110550 United States,2024-12-01,,11280.0,,,11280.0,11280.0
115,110550,United States,110550 United States,2025-01-01,,11470.0,,,11470.0,11470.0
118,110550,United States,110550 United States,2025-02-01,,11657.0,,,11657.0,11657.0
121,110550,United States,110550 United States,2025-03-01,,11841.0,,,11841.0,11841.0
124,110550,United States,110550 United States,2025-04-01,,12023.0,,,12023.0,12023.0
127,110550,United States,110550 United States,2025-05-01,,12201.0,,,12201.0,12201.0
130,110550,United States,110550 United States,2025-06-01,,12377.0,,,12377.0,12377.0
133,110550,United States,110550 United States,2025-07-01,,12551.0,,,12551.0,12551.0
136,110550,United States,110550 United States,2025-08-01,,12721.0,,,12721.0,12721.0
139,110550,United States,110550 United States,2025-09-01,,12889.0,,,12889.0,12889.0
142,110550,United States,110550 United States,2025-10-01,,13054.0,,,13054.0,13054.0
145,110550,United States,110550 United States,2025-11-01,,13217.0,,,13217.0,13217.0
148,110550,United States,110550 United States,2025-12-01,,13377.0,,,13377.0,13377.0
151,110550,United States,110550 United States,2026-01-01,,13534.0,,,13534.0,13534.0
154,110550,United States,110550 United States,2026-02-01,,13689.0,,,13689.0,13689.0
157,110550,United States,110550 United States,2026-03-01,,13841.0,,,13841.0,13841.0
160,110550,United States,110550 United States,2026-04-01,,13990.0,,,13990.0,13990.0
163,110550,United States,110550 United States,2026-05-01,,14138.0,,,14138.0,14138.0
166,110550,United States,110550 United States,2026-06-01,,14282.0,,,14282.0,14282.0
169,110550,United States,110550 United States,2026-07-01,,14425.0,,,14425.0,14425.0
172,110550,United States,110550 United States,2026-08-01,,14565.0,,,14565.0,14565.0
175,110550,United States,110550 United States,2026-09-01,,14702.0,,,14702.0,14702.0
178,110550,United States,110550 United States,2026-10-01,,14837.0,,,14837.0,14837.0
181,110550,United States,110550 United States,2026-11-01,,14970.0,,,14970.0,14970.0
184,110550,United States,110550 United States,2026-12-01,,15101.0,,,15101.0,15101.0
187,110550,United States,110550 United States,2027-01-01,,15229.0,,,15229.0,15229.0
190,110550,United States,110550 United States,2027-02-01,,15355.0,,,15355.0,15355.0
193,110550,United States,110550 United States,2027-03-01,,15479.0,,,15479.0,15479.0
196,110550,United States,110550 United States,2027-04-01,,15601.0,,,15601.0,15601.0
199,110550,United States,110550 United States,2027-05-01,,15720.0,,,15720.0,15720.0
202,110550,United States,110550 United States,2027-06-01,,15838.0,,,15838.0,15838.0
205,110550,United States,110550 United States,2027-07-01,,15953.0,,,15953.0,15953.0
208,110550,United States,110550 United States,2027-08-01,,16067.0,,,16067.0,16067.0
211,110550,United States,110550 United States,2027-09-01,,16178.0,,,16178.0,16178.0
214,110550,United States,110550 United States,2027-10-01,,16287.0,,,16287.0,16287.0
217,110550,United States,110550 United States,2027-11-01,,16394.0,,,16394.0,16394.0
220,110550,United States,110550 United States,2027-12-01,,5295.0,,,5295.0,5295.0
223,110550,United States,110550 United States,2028-01-01,,5295.0,,,5295.0,5295.0
